,diferencia,T,xT
87,68.61111843319188,1,68.61111843319188
88,-49.413237365044594,0,-0.0
89,25.552411343247638,1,25.552411343247638
90,41.591007349762215,1,41.591007349762215
91,19.526851715866258,1,19.526851715866258
92,67.44178093902813,1,67.44178093902813
93,43.15826660386246,1,43.15826660386246
94,-42.526661197703035,0,-0.0
95,81.4627011214042,1,81.4627011214042
96,30.58213069563807,1,30.58213069563807
97,36.501806403388564,1,36.501806403388564
98,53.607193950541586,1,53.607193950541586
99,34.85710042222741,1,34.85710042222741
100,58.44645550527904,1,58.44645550527904
101,23.389549350290295,1,23.389549350290295
102,40.8,1,40.8
103,32.2728978978979,1,32.2728978978979
104,-15.280790551940227,0,-0.0
105,9.468021518230724,1,9.468021518230724
106,29.77584476413516,1,29.77584476413516
107,61.43883689839572,1,61.43883689839572
108,52.652318884510464,1,52.652318884510464
109,26.207989136584814,1,26.207989136584814
110,27.93160648207222,1,27.93160648207222
111,35.243651338366504,1,35.243651338366504
112,54.97178966373279,1,54.97178966373279
113,-8.956829978478288,0,-0.0
114,37.798272580881275,1,37.798272580881275
115,12.477198102882161,1,12.477198102882161
116,-7.382867960246095,0,-0.0
117,24.465811965811966,1,24.465811965811966
118,31.587007160728152,1,31.587007160728152
119,54.61331740818155,1,54.61331740818155
120,50.653456998313665,1,50.653456998313665
121,34.13739246845328,1,34.13739246845328
122,54.74835886214442,1,54.74835886214442
123,52.988489807238935,1,52.988489807238935
124,28.923253150057278,1,28.923253150057278
125,42.45450698264918,1,42.45450698264918
126,38.951230038843335,1,38.951230038843335
127,52.42133452354385,1,52.42133452354385
128,54.318013343217196,1,54.318013343217196
129,32.96681720007854,1,32.96681720007854
130,-25.26963360978079,0,-0.0
131,40.58019339779927,1,40.58019339779927
132,25.4673721340388,1,25.4673721340388
133,49.76017054538994,1,49.76017054538994
134,-16.844207723035954,0,-0.0
135,31.54168851599371,1,31.54168851599371
136,42.50770416024653,1,42.50770416024653
137,51.345834927924486,1,51.345834927924486
138,53.291489202719866,1,53.291489202719866
139,49.10056030669419,1,49.10056030669419
140,55.07591545102709,1,55.07591545102709
141,43.8339057133937,1,43.8339057133937
142,10.51943055021162,1,10.51943055021162
143,3.68763557483731,1,3.68763557483731
144,53.35268505079826,1,53.35268505079826
145,26.136715125270648,1,26.136715125270648
146,58.32216563923881,1,58.32216563923881
147,10.393684849711567,1,10.393684849711567
148,46.14289105150724,1,46.14289105150724
149,-26.820423556715983,0,-0.0
150,62.335692618806874,1,62.335692618806874
151,24.05830020821503,1,24.05830020821503
152,66.44501908631942,1,66.44501908631942
153,50.48038988164307,1,50.48038988164307
154,49.67685076380729,1,49.67685076380729
155,-17.875710083181172,0,-0.0
156,48.83573578330429,1,48.83573578330429
157,43.495410902233935,1,43.495410902233935
158,62.015246934040434,1,62.015246934040434
159,63.65603028664143,1,63.65603028664143
160,38.07654337993893,1,38.07654337993893
161,48.83772415319903,1,48.83772415319903
162,54.700973574408906,1,54.700973574408906
163,-11.279007015650297,0,-0.0
164,52.324950244255476,1,52.324950244255476
165,27.751254743542663,1,27.751254743542663
166,53.93053016453382,1,53.93053016453382
167,10.39243535117014,1,10.39243535117014
168,57.8521729627336,1,57.8521729627336
169,8.901960784313726,1,8.901960784313726
170,48.95914853654719,1,48.95914853654719
171,-36.877646176108044,0,-0.0
172,22.58557953044244,1,22.58557953044244
173,-19.441785928910058,0,-0.0
174,32.3675109823348,1,32.3675109823348
175,39.5678029985761,1,39.5678029985761
176,24.668516805427075,1,24.668516805427075
177,41.83735550598256,1,41.83735550598256
178,3.4465286779473745,1,3.4465286779473745
179,51.45102373667255,1,51.45102373667255
180,7.916066536756191,1,7.916066536756191
181,-13.479801087697707,0,-0.0
182,19.316667555034382,1,19.316667555034382
183,-47.12582071552995,0,-0.0
184,31.4259538693684,1,31.4259538693684
185,5.520253195613239,1,5.520253195613239
186,-64.42945747755685,0,-0.0
187,-18.608695652173914,0,-0.0
188,26.360831923574484,1,26.360831923574484
189,5.139766801753828,1,5.139766801753828
190,22.723211939671028,1,22.723211939671028
191,15.031948881789138,1,15.031948881789138
192,-42.916776609338356,0,-0.0
193,17.272612907283936,1,17.272612907283936
194,13.25659966786921,1,13.25659966786921
195,-2.0316295672004365,0,-0.0
196,30.128676470588232,1,30.128676470588232
197,-25.903793554524913,0,-0.0
198,-41.825678396778216,0,-0.0
199,13.670918696044323,1,13.670918696044323
200,17.82924603221639,1,17.82924603221639
201,17.36817466059497,1,17.36817466059497
202,-3.7408968953622077,0,-0.0
203,49.58741335680493,1,49.58741335680493
204,-48.05111752060581,0,-0.0
205,17.330648221113155,1,17.330648221113155
206,-62.763434148555866,0,-0.0
207,23.81211708645337,1,23.81211708645337
208,-29.156099693922165,0,-0.0
209,-7.925122874679586,0,-0.0
210,48.07978565049122,1,48.07978565049122
211,-11.362717347351396,0,-0.0
212,-39.24161386376145,0,-0.0
213,-35.260353903722965,0,-0.0
214,-4.549281375909556,0,-0.0
215,-5.144988111384404,0,-0.0
216,10.742984299666213,1,10.742984299666213
217,21.0079275198188,1,21.0079275198188
218,-2.5525908739365817,0,-0.0
219,-22.32850337276031,0,-0.0
220,-20.352100697397514,0,-0.0
